TeamId,TeamName,SubmissionDate,Score
320597,"Bojan Tunguz","2016-05-05 21:13:21",0.50065
320607,JeffH,"2016-05-05 21:41:59",0.50065
320686,ak,"2016-05-06 01:47:38",0.50065
320697,mingjerli,"2016-05-06 02:24:20",0.50065
320703,"Russ Boucher","2016-05-06 02:46:29",0.50065
320721,ascension,"2016-05-06 03:15:10",0.50065
320743,A.Antonov,"2016-05-06 04:39:12",0.50065
320741,Ravi,"2016-05-06 04:41:11",0.50000
320745,DataMinders,"2016-05-06 04:44:27",0.49905
320745,DataMinders,"2016-05-06 04:45:54",0.50095
320746,im,"2016-05-06 04:47:16",0.50065
320752,daten-kieker,"2016-05-06 04:55:43",0.50000
320745,DataMinders,"2016-05-06 05:30:54",0.61952
320752,daten-kieker,"2016-05-06 05:43:17",0.50030
320767,"Mania Yang","2016-05-06 06:00:53",0.61952
320773,SecondPlan,"2016-05-06 06:28:13",0.61952
320776,"Akila Wajirasena","2016-05-06 06:33:24",0.61952
320782,"Hyun Ook Ryu","2016-05-06 06:39:26",0.61952
320801,HulkBulk,"2016-05-06 07:27:19",0.61952
320811,MA,"2016-05-06 07:50:31",0.61952
320814,"Rikki & Dowakin","2016-05-06 08:01:18",0.61952
320817,AlbertoCastaño,"2016-05-06 08:20:58",0.61952
320830,Vahid,"2016-05-06 09:08:08",0.69714
320832,Contemplator,"2016-05-06 09:11:54",0.64128
320891,ololobhi,"2016-05-06 09:16:44",0.61952
320767,"Mania Yang","2016-05-06 09:17:37",0.64128
320811,MA,"2016-05-06 09:17:58",0.64128
320830,Vahid,"2016-05-06 09:25:22",0.71283
320837,vrajs5,"2016-05-06 09:25:39",0.70560
320837,vrajs5,"2016-05-06 09:33:14",0.72055
320776,"Akila Wajirasena","2016-05-06 09:42:02",0.64128
320814,"Rikki & Dowakin","2016-05-06 10:06:34",0.64128
320830,Vahid,"2016-05-06 10:12:45",0.72396
320837,vrajs5,"2016-05-06 10:22:20",0.72383
320867,"Adarsh Chavakula","2016-05-06 10:43:17",0.62062
320870,"Native Russian Speakers :P","2016-05-06 10:51:41",0.64128
320773,SecondPlan,"2016-05-06 11:02:12",0.64128
320837,vrajs5,"2016-05-06 11:11:54",0.72437
320746,im,"2016-05-06 11:16:12",0.64128
320886,IvanSosnovik,"2016-05-06 12:09:25",0.64128
320745,DataMinders,"2016-05-06 12:18:38",0.74438
320892,DL,"2016-05-06 12:20:08",0.66465
320891,ololobhi,"2016-05-06 12:22:29",0.77967
320892,DL,"2016-05-06 12:30:37",0.66594
320904,"Ayman Khalafallah","2016-05-06 13:02:04",0.64128
320703,"Russ Boucher","2016-05-06 13:24:47",0.64128
320936,"Johnny Strings","2016-05-06 14:04:54",0.64128
320892,DL,"2016-05-06 14:32:56",0.74625
320955,"Paul Hendricks","2016-05-06 14:42:19",0.50065
320597,"Bojan Tunguz","2016-05-06 15:00:50",0.64128
320962,vettipaiyan,"2016-05-06 15:15:15",0.64128
320969,DarmetLudovic,"2016-05-06 15:37:19",0.62987
320990,$#0Ck~@Ve,"2016-05-06 16:00:12",0.64128
321007,Daggy,"2016-05-06 16:42:15",0.64128
321014,"Michel Blaauw","2016-05-06 16:54:31",0.61952
321019,"Lawrence Chernin","2016-05-06 17:10:55",0.50065
321019,"Lawrence Chernin","2016-05-06 17:11:24",0.64128
321020,"Vishanta Rayamajhi","2016-05-06 17:15:00",0.64128
321022,leventis_vamvakas,"2016-05-06 17:29:45",0.69696
321033,V,"2016-05-06 17:35:37",0.61952
321048,Etherqua,"2016-05-06 18:12:58",0.64128
320597,"Bojan Tunguz","2016-05-06 20:38:50",0.64724
321112,"Yuqing Xue","2016-05-06 20:46:35",0.64128
320597,"Bojan Tunguz","2016-05-06 20:48:54",0.64812
320745,DataMinders,"2016-05-06 21:08:56",0.74889
321137,Testimate,"2016-05-06 21:31:23",0.64128
321202,TheQuants,"2016-05-06 21:39:13",0.50016
321202,TheQuants,"2016-05-06 21:42:22",0.61952
321149,wajz,"2016-05-06 22:10:54",0.64939
320773,SecondPlan,"2016-05-06 22:24:48",0.66390
320837,vrajs5,"2016-05-06 23:03:56",0.76679
321149,wajz,"2016-05-06 23:04:44",0.69794
320607,JeffH,"2016-05-06 23:45:58",0.74819
321175,"Chris J.T. Auld","2016-05-07 00:03:23",0.61952
320830,Vahid,"2016-05-07 00:06:33",0.73581
320830,Vahid,"2016-05-07 00:30:54",0.73598
321202,TheQuants,"2016-05-07 01:35:27",0.79187
321175,"Chris J.T. Auld","2016-05-07 01:48:09",0.64128
320745,DataMinders,"2016-05-07 02:35:16",0.76007
320837,vrajs5,"2016-05-07 04:49:06",0.77548
321242,"potter xu","2016-05-07 05:11:08",0.61952
321243,"Nilotpal Sinha","2016-05-07 05:12:34",0.64128
320741,Ravi,"2016-05-07 06:17:54",0.62171
320741,Ravi,"2016-05-07 06:19:07",0.62540
320741,Ravi,"2016-05-07 06:25:27",0.62557
320773,SecondPlan,"2016-05-07 07:32:43",0.66442
321149,wajz,"2016-05-07 07:46:07",0.73629
321149,wajz,"2016-05-07 08:00:49",0.77066
321296,"Vikram Jha","2016-05-07 08:37:29",0.50065
320743,A.Antonov,"2016-05-07 08:45:07",0.64128
321304,Saba,"2016-05-07 08:54:49",0.64128
321321,Li-Der,"2016-05-07 09:56:36",0.62062
321321,Li-Der,"2016-05-07 09:57:52",0.64128
322707,ADAD,"2016-05-07 10:15:04",0.76132
321337,(/\),"2016-05-07 11:04:16",0.64128
321343,andrekos,"2016-05-07 11:42:07",0.74188
321349,rognar,"2016-05-07 12:01:39",0.65347
321366,"Ravi Theja","2016-05-07 12:58:15",0.61952
321392,alexandreyc,"2016-05-07 14:14:51",0.61320
321296,"Vikram Jha","2016-05-07 14:49:51",0.61952
321412,quantability,"2016-05-07 15:15:37",0.64128
321392,alexandreyc,"2016-05-07 18:05:12",0.68693
321392,alexandreyc,"2016-05-07 19:42:22",0.72806
321506,beatrix,"2016-05-07 20:21:32",0.74522
321513,"Anthony P.","2016-05-07 20:28:40",0.64128
320892,DL,"2016-05-07 20:35:58",0.74664
321534,Reza,"2016-05-07 20:50:30",0.64128
321149,wajz,"2016-05-07 20:56:45",0.80862
321538,"amin merati","2016-05-07 20:59:52",0.64128
321349,rognar,"2016-05-07 21:04:45",0.68455
321660,VSSKANAND,"2016-05-08 02:48:06",0.61952
321671,SYNG,"2016-05-08 03:58:09",0.64128
321708,Pankaj,"2016-05-08 06:58:36",0.61952
321708,Pankaj,"2016-05-08 06:59:36",0.64128
320837,vrajs5,"2016-05-08 07:23:24",0.77881
321702,tsuzuki,"2016-05-08 07:53:02",0.71762
320837,vrajs5,"2016-05-08 07:55:25",0.77987
321343,andrekos,"2016-05-08 07:56:33",0.74215
321349,rognar,"2016-05-08 09:09:58",0.70510
320752,daten-kieker,"2016-05-08 09:10:09",0.64128
321738,foolius,"2016-05-08 09:49:32",0.61952
321202,TheQuants,"2016-05-08 09:58:05",0.79736
321343,andrekos,"2016-05-08 10:09:01",0.74248
321738,foolius,"2016-05-08 10:32:55",0.64128
321754,"Scott Thompson","2016-05-08 11:10:14",0.63188
321754,"Scott Thompson","2016-05-08 11:36:22",0.64128
321702,tsuzuki,"2016-05-08 11:47:35",0.71792
